High-school Track,R,I,A,S,E,C,Skills,Courses and Certificates,Work Style,Passion and Goals,Faculty,Typical Degree,Program/Major,Primary Campus
General Science,True,True,False,False,False,True,"Logic, Mathematics, English, French","AP Computer Science, CS50, wrong Workshop",Office/Data,"technology, to understand",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Problem Solving, Mathematics, Logic, Time Management, Arabic","Web Development Bootcamp, IELTS",Office/Data,"coding, to research",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Problem Solving, Logic, Mathematics, Time Management","Web Development Bootcamp, AP Computer Science, Summer Program",Office/Data,"algorithms, to research",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Python, Problem Solving, Mathematics, Research","AP Computer Science, First Aid",Office/Data,"technology, career",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Python, Logic, Mathematics, Research","Web Development Bootcamp, CS50, IELTS",Office/Data,"software, to lead",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Problem Solving, Python, Logic, Mathematics, Communication, English","AP Computer Science, CS50, write Workshop",Office/Data,"software, to lead",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Logic, Mathematics, Python, French","CS50, IELTS",Office/Data,"AI, to research",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,True,False,False,True,"Problem Solving, Logic, Microsoft Office","CS50, AP Computer Science, IELTS",Office/Data,"AI, to understand",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Problem Solving, Logic, Python, Time Management, French","Web Development Bootcamp, ICDL",Office/Data,"algorithms, to help people",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Logic, Python, English","CS50, TOEFL",Office/Data,"AI, career",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,False,False,False,False,True,"Problem Solving, Logic, Mathematics, Python, Arabic","Web Development Bootcamp, CS50, Summer Program",Office/Data,"algorithms, to help people",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Python, Mathematics, Logic, Problem Solving, Time Management, Microsoft Office","Web Development Bootcamp, CS50, Summer Program",Office/Data,"software, to research",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,True,False,True,"Python, Logic, French, Arabic","AP Computer Science, CS50, First Aid",Office/Data,"software, career",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Problem Solving, Python, Logic, Mathematics, French, Arabic","CS50, AP Computer Science, First Aid",Office/Data,"technology, to understand",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,False,True,"Mathematics, Problem Solving, English","Web Development Bootcamp, box Workshop",Office/Data,"software, to research",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,True,False,False,"Logic, Mathematics, Python, French","CS50, Summer Program",Office/Data,"AI, to help people",Faculty of Sciences,BS,Computer Science,Distributed
General Science,False,True,False,False,False,True,"Problem Solving, Python, Mathematics, Logic, Microsoft Office","Web Development Bootcamp, AP Computer Science, attack Workshop",Office/Data,"software, to build",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,True,True,True,"Python, Mathematics, Logic, Problem Solving, Research","AP Computer Science, Web Development Bootcamp, Summer Program",Office/Data,"software, to build",Faculty of Sciences,BS,Computer Science,Distributed
General Science,True,True,False,False,True,True,"Project Management, AutoCAD, Microsoft Office, English","Construction Materials, possible Workshop",Hands-on/Field,"construction, career",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Physics, AutoCAD, Mathematics, Project Management, Research, Time Management","Dynamics, sell Workshop",Hands-on/Field,"design, to create",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,False,"Mathematics, Physics, French","Construction Materials, Dynamics, ICDL",Hands-on/Field,"design, to create",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Mathematics, Project Management, Communication, Arabic","Dynamics, someone Workshop",Hands-on/Field,"infrastructure, to research",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Project Management, Mathematics, Physics, Time Management","Dynamics, Summer Program","Hands-on/Field, Office/Data","design, to understand",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Physics, AutoCAD, Project Management, Mathematics, Research","Dynamics, Construction Materials, First Aid",Hands-on/Field,"construction, to create",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,False,True,"AutoCAD, Physics, Project Management, Arabic, Communication","Construction Materials, Dynamics, Summer Program","Hands-on/Field, Office/Data","design, to help people",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,True,True,True,"Mathematics, Physics, AutoCAD, Project Management, Communication, Microsoft Office","Dynamics, short Workshop",Hands-on/Field,"design, to understand",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Mathematics, Project Management, Time Management, Communication","Dynamics, ICDL",Hands-on/Field,"bridges, career",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,False,False,True,True,True,"Project Management, AutoCAD, Research, Microsoft Office","Dynamics, Construction Materials, situation Workshop",Hands-on/Field,"buildings, to help people",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Mathematics, Physics, Project Management, AutoCAD, English","Statics, Dynamics, TOEFL","Hands-on/Field, Office/Data","construction, to innovate",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,False,True,"Project Management, Physics, AutoCAD, Mathematics, English, Microsoft Office","Statics, Dynamics, TOEFL",Hands-on/Field,"construction, to help people",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
